cTitulo,dModificacion,cURL,lEspañol,lIngles,lLingüistica,lRedesSociales,lGlobalizacion,lTurismo,lTecnologia,lInteligenciaArtificial,lAprendizajeAutomatico,lProcesamientoDelLenguajeNatural,lCienciaDeDatos,lCientificoDeDatos
A million news headlines,2021-01-23,www.kaggle.com/therohk/million-headlines,0,1,1,0,0,0,1,0,0,0,0,0
Amazon Fine Food Reviews:,2017-05-01,www.kaggle.com/snap/amazon-fine-food-reviews,0,1,1,0,0,0,1,0,0,0,0,0
News Category Dataset,2018-12-02,www.kaggle.com/rmisra/news-category-dataset,0,1,1,0,0,0,0,0,0,0,0,0
WALS dataset,2020-01-17,www.kaggle.com/averkij/wals-dataset,0,1,1,0,0,0,0,0,0,0,0,0
goodreadsbooks,2020-03-09,www.kaggle.com/jealousleopard/goodreadsbooks,0,1,1,0,0,0,0,0,0,0,0,0
ted talks,2017-09-25,www.kaggle.com/rounakbanik/ted-talks,0,1,1,0,0,0,0,0,0,0,0,0
Code Mixed (Hindi-English) Dataset,2018-01-12,www.kaggle.com/pk13055/code-mixed-hindienglish-dataset,0,1,1,0,0,0,0,0,0,0,0,0
English-French Translation Dataset,2021-02-09,www.kaggle.com/dhruvildave/en-fr-translation-dataset,0,1,1,0,0,0,0,0,0,0,0,0
SMS Spam Collection Dataset,2016-12-02,www.kaggle.com/uciml/sms-spam-collection-dataset,0,1,1,0,0,0,0,0,0,0,0,0
World Atlas of Language Structures,2017-09-08,www.kaggle.com/rtatman/world-atlas-of-language-structures,0,1,1,0,0,0,0,0,0,0,0,0
Twitch Social Networks,2019-11-12,www.kaggle.com/andreagarritano/twitch-social-networks,0,1,0,1,0,0,0,0,0,0,0,0
Real and Fake Face Detection,2019-01-14,www.kaggle.com/ciplab/real-and-fake-face-detection,0,1,0,1,0,0,0,0,0,0,0,0
Mobile phone activity in a city,2019-11-14,www.kaggle.com/marcodena/mobile-phone-activity,0,1,0,1,0,0,0,0,0,0,0,0
Organizational social networks,2021-04-02,www.kaggle.com/michaelfire/organizational-social-networks,0,1,0,1,0,0,0,0,0,0,0,0
Youtube social network,2019-09-01,www.kaggle.com/lodetomasi1995/youtube-social-network,0,1,0,1,0,0,0,0,0,0,0,0
Customer Support on Twitter,2017-12-04,www.kaggle.com/thoughtvector/customer-support-on-twitter,0,1,0,1,0,0,0,0,0,0,0,0
Weibo Social Networks,2020-01-08,www.kaggle.com/jm3402/weibo-social-networks,0,1,0,1,0,0,0,0,0,0,0,0
Australian Election 2019 Tweets,2019-05-21,www.kaggle.com/taniaj/australian-election-2019-tweets,0,1,0,1,0,0,0,0,0,0,0,0
Facebook Ad Campaign,2019-01-11,www.kaggle.com/madislemsalu/facebook-ad-campaign,0,1,0,1,0,0,0,0,0,0,0,0
US Election 2020 Tweets,2020-11-09,www.kaggle.com/manchunhui/us-election-2020-tweets,0,1,0,1,0,0,0,0,0,0,0,0
Tourism Marketing Study,2021-02-11,www.kaggle.com/saurabhshahane/tourism-marketing-study,0,1,0,0,0,1,0,0,0,0,0,0
International tourism demographics,2021-02-04,www.kaggle.com/ayushggarg/international-tourism-demographics,0,1,0,0,0,1,0,0,0,0,0,0
Quarterly Tourism in Australia,2020-02-01,www.kaggle.com/luisblanche/quarterly-tourism-in-australia,0,1,0,0,0,1,0,0,0,0,0,0
Visitors to Taiwan By Residence,2018-10-29,www.kaggle.com/ceshine/taiwan-visitor-arrivals-by-residence,0,1,0,0,0,1,0,0,0,0,0,0
Quarterly Foreign Tourist Arrivals in India,2018-10-17,www.kaggle.com/navoneel/fta-data,0,1,0,0,0,1,0,0,0,0,0,0
US tourism,2017-07-23,www.kaggle.com/sprabakar/us-tourism,0,1,0,0,0,1,0,0,0,0,0,0
Singapore Quarterly Tourism Receipts/Expenditures,2020-08-08,www.kaggle.com/harveytan/singapore-quarterly-tourism-spending,0,1,0,0,0,1,0,0,0,0,0,0
Singapore Tourism Data,2020-10-22,www.kaggle.com/shweta2407/singapore-tourism-data,0,1,0,0,0,1,0,0,0,0,0,0
Hotel Reviews,2019-06-24,www.kaggle.com/datafiniti/hotel-reviews,0,1,0,0,0,1,0,0,0,0,0,0
Russian tourist attractions,2020-03-28,www.kaggle.com/vitaliymalcev/russian-touris-attractions,0,1,0,0,0,1,0,0,0,0,0,0
World Bank Data of Indian Economy since 1991,2018-06-23,www.kaggle.com/zohebabai/world-bank-data-of-indian-economy-since-1991,0,1,0,0,1,0,0,0,0,0,0,0
US Census Questions,2020-12-19,www.kaggle.com/sahilmaheshwari/us-census-questions,0,1,0,0,1,0,0,0,0,0,0,0
Daily Top Trends WorldWide 201X – Opportunities,2020-07-01,www.kaggle.com/jmmvutu/daily-top-trends-worldwide-201x-top-opportunities,0,1,0,0,1,0,0,0,0,0,0,0
Clean dirty containers in Montevideo,2021-02-17,www.kaggle.com/rodrigolaguna/clean-dirty-containers-in-montevideo,0,1,0,0,1,0,0,0,0,0,0,0
Science and technology in India,2020-10-04,www.kaggle.com/rishidamarla/science-and-technology-in-india,0,1,0,0,0,0,1,0,0,0,0,0
Covid-19 Open research dataset challenge (CORD-19),2021-04-20,www.kaggle.com/allen-institute-for-ai/CORD-19-research-challenge,0,1,0,0,0,0,1,0,0,0,0,0
Student’s Academic Performance Dataset,2016-11-26,www.kaggle.com/aljarah/xAPI-Edu-Data,0,1,0,0,0,0,1,0,0,0,0,0
Technology Tracker UK 2018,2018-12-07,www.kaggle.com/guillerk92/technology-tracker-uk-2018,0,1,0,0,0,0,1,0,0,0,0,0
Brazilian Technology News,2019-07-08,www.kaggle.com/mitiinteligencia/brazilian-technology-news,0,1,0,0,0,0,1,0,0,0,0,0
Stack Overflow Tag Network,2017-09-28,www.kaggle.com/stackoverflow/stack-overflow-tag-network,0,1,0,0,0,0,1,0,0,0,0,0
Growth Technology Stocks,2019-04-16,www.kaggle.com/fjgonzalez/growth-technology-stocks,0,1,0,0,0,0,1,0,0,0,0,0
Online Courses from Harvard and MIT,2017-01-27,www.kaggle.com/edx/course-study,0,1,0,0,0,0,1,0,0,0,0,0
Complete Cryptocurrency Market History,2018-09-29,www.kaggle.com/taniaj/cryptocurrency-market-history-coinmarketcap,0,1,0,0,0,0,1,0,0,0,0,0
Aerial Semantic Segmentation Drone Dataset,2021-01-11,www.kaggle.com/bulentsiyah/semantic-drone-dataset,0,1,0,0,0,0,1,0,0,0,0,0
Data Science Cheat Sheets,2020-02-04,www.kaggle.com/timoboz/data-science-cheat-sheets,0,1,0,0,0,0,0,1,0,0,0,0
CAPTCHA Images,2019-02-27,www.kaggle.com/fournierp/captcha-version-2-images,0,1,0,0,0,0,0,1,0,0,0,0
Corn or Maize Leaf Disease Dataset,2020-11-11,www.kaggle.com/smaranjitghose/corn-or-maize-leaf-disease-dataset,0,1,0,0,0,0,0,1,0,0,0,0
Delhi Weather Data,2017-04-24,www.kaggle.com/mahirkukreja/delhi-weather-data,0,1,0,0,0,0,0,1,0,0,0,0
